Date,Time,DateTime,Temp,TempF,TempC,Dew Point,Humidity,HumidityP,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition,Confirmed Cases,Cases Increase
12/16/19,12:00 AM,12/16/19 00:00,48 F,48,9,43 F,82 %,82,NNW,4 mph,0 mph,29.91 in,0.0 in,Fog,0,0.00
12/16/19,1:00 AM,12/16/19 01:00,46 F,46,8,43 F,87 %,87,N,4 mph,0 mph,29.91 in,0.0 in,Fog,0,0.00
12/16/19,2:00 AM,12/16/19 02:00,46 F,46,8,43 F,87 %,87,N,4 mph,0 mph,29.91 in,0.0 in,Fog,0,0.00
12/16/19,3:00 AM,12/16/19 03:00,46 F,46,8,43 F,87 %,87,VAR,2 mph,0 mph,29.91 in,0.0 in,Fair,0,0.00
12/16/19,4:00 AM,12/16/19 04:00,48 F,48,9,43 F,82 %,82,NW,4 mph,0 mph,29.91 in,0.0 in,Fair,0,0.00
12/16/19,5:00 AM,12/16/19 05:00,46 F,46,8,43 F,87 %,87,NNW,4 mph,0 mph,29.88 in,0.0 in,Fair,0,0.00
12/16/19,6:00 AM,12/16/19 06:00,46 F,46,8,43 F,87 %,87,NNW,4 mph,0 mph,29.88 in,0.0 in,Fair,0,0.00
12/16/19,7:00 AM,12/16/19 07:00,46 F,46,8,43 F,87 %,87,NNW,4 mph,0 mph,29.91 in,0.0 in,Fair,0,0.00
12/16/19,8:00 AM,12/16/19 08:00,46 F,46,8,43 F,87 %,87,VAR,2 mph,0 mph,29.91 in,0.0 in,Fog,0,0.00
12/16/19,9:00 AM,12/16/19 09:00,48 F,48,9,43 F,82 %,82,NNW,4 mph,0 mph,29.94 in,0.0 in,Fog,0,0.00
12/16/19,10:00 AM,12/16/19 10:00,48 F,48,9,43 F,82 %,82,WNW,4 mph,0 mph,29.94 in,0.0 in,Fog,0,0.00
12/16/19,11:00 AM,12/16/19 11:00,50 F,50,10,43 F,76 %,76,NW,4 mph,0 mph,29.94 in,0.0 in,Fog,0,0.00
12/16/19,12:00 PM,12/16/19 12:00,50 F,50,10,43 F,76 %,76,NW,4 mph,0 mph,29.91 in,0.0 in,Fog,0,0.00
12/16/19,1:00 PM,12/16/19 13:00,52 F,52,11,43 F,71 %,71,NNW,7 mph,0 mph,29.88 in,0.0 in,Haze,0,0.00
12/16/19,2:00 PM,12/16/19 14:00,50 F,50,10,43 F,76 %,76,VAR,4 mph,0 mph,29.88 in,0.0 in,Haze,0,0.00
12/16/19,3:00 PM,12/16/19 15:00,50 F,50,10,43 F,76 %,76,NNW,7 mph,0 mph,29.88 in,0.0 in,Fair,0,0.00
12/16/19,4:00 PM,12/16/19 16:00,50 F,50,10,43 F,76 %,76,NNW,7 mph,0 mph,29.88 in,0.0 in,Fair,0,0.00
12/16/19,5:00 PM,12/16/19 17:00,48 F,48,9,41 F,76 %,76,NNW,7 mph,0 mph,29.91 in,0.0 in,Fair,0,0.00
12/16/19,6:00 PM,12/16/19 18:00,48 F,48,9,41 F,76 %,76,N,4 mph,0 mph,29.94 in,0.0 in,Fair,0,0.00
12/16/19,7:00 PM,12/16/19 19:00,46 F,46,8,41 F,81 %,81,N,4 mph,0 mph,29.94 in,0.0 in,Fair,0,0.00
12/16/19,8:00 PM,12/16/19 20:00,48 F,48,9,41 F,76 %,76,NNE,4 mph,0 mph,29.97 in,0.0 in,Cloudy,0,0.00
12/16/19,9:00 PM,12/16/19 21:00,48 F,48,9,41 F,76 %,76,VAR,2 mph,0 mph,30.00 in,0.0 in,Cloudy,0,0.00
12/16/19,10:00 PM,12/16/19 22:00,46 F,46,8,41 F,81 %,81,NNW,4 mph,0 mph,30.00 in,0.0 in,Cloudy,0,0.00
12/16/19,11:00 PM,12/16/19 23:00,46 F,46,8,43 F,87 %,87,N,4 mph,0 mph,30.03 in,0.0 in,Cloudy,0,0.00
